time	V(N001,N002)	V(n004)
4.712080415925289e-003	-1.456938e-001	2.807572e+000
4.721846040925289e-003	-1.345139e-001	2.857360e+000
4.731611665925290e-003	-1.228145e-001	2.906544e+000
4.741377290925290e-003	-1.107723e-001	2.954614e+000
4.751142915925290e-003	-9.856796e-002	3.000730e+000
4.760908540925289e-003	-8.638513e-002	3.043442e+000
4.770674165925290e-003	-7.440710e-002	3.080355e+000
4.780439790925290e-003	-6.281388e-002	3.107759e+000
4.790205415925290e-003	-5.178005e-002	3.120335e+000
4.799971040925289e-003	-4.147136e-002	3.111246e+000
4.809736665925289e-003	-3.204304e-002	3.072987e+000
4.819502290925290e-003	-2.363682e-002	2.999203e+000
4.829267915925290e-003	-1.637918e-002	2.887113e+000
4.839033540925289e-003	-1.037924e-002	2.739508e+000
4.848799165925289e-003	-5.727269e-003	2.565140e+000
4.858564790925290e-003	-2.493218e-003	2.377045e+000
4.868330415925290e-003	-7.257303e-004	2.189631e+000
4.878096040925289e-003	-4.390921e-004	2.015518e+000
4.887540850088480e-003	-1.598263e-003	1.868951e+000
4.897306475088480e-003	-4.264303e-003	1.745212e+000
4.907072100088479e-003	-8.358017e-003	1.651085e+000
4.916837725088480e-003	-1.383010e-002	1.585969e+000
4.926603350088480e-003	-2.059823e-002	1.547257e+000
4.936368975088480e-003	-2.856061e-002	1.531323e+000
4.946134600088479e-003	-3.759748e-002	1.534098e+000
4.955900225088480e-003	-4.757291e-002	1.551506e+000
4.965665850088480e-003	-5.833697e-002	1.579819e+000
4.975431475088480e-003	-6.972754e-002	1.615875e+000
4.985197100088479e-003	-8.157337e-002	1.657184e+000
4.994962725088480e-003	-9.369648e-002	1.701909e+000
5.004728350088480e-003	-1.059142e-001	1.748775e+000
5.014493975088480e-003	-1.180432e-001	1.796937e+000
5.024259600088479e-003	-1.299007e-001	1.845876e+000
5.034025225088480e-003	-1.413083e-001	1.895283e+000
5.043790850088480e-003	-1.520946e-001	1.944957e+000
5.053556475088480e-003	-1.620975e-001	1.994760e+000
5.063322100088480e-003	-1.711662e-001	2.044625e+000
5.073087725088480e-003	-1.791644e-001	2.094529e+000
5.082853350088480e-003	-1.859722e-001	2.144463e+000
5.092618975088480e-003	-1.914866e-001	2.194423e+000
5.102384600088480e-003	-1.956251e-001	2.244411e+000
5.112150225088480e-003	-1.983252e-001	2.294430e+000
5.121915850088480e-003	-1.995590e-001	2.344483e+000
5.131353193539572e-003	-1.993165e-001	2.392890e+000
5.141118818539572e-003	-1.975842e-001	2.443022e+000
5.150884443539573e-003	-1.943970e-001	2.493195e+000
5.160650068539573e-003	-1.897902e-001	2.543407e+000
5.170415693539572e-003	-1.838329e-001	2.593654e+000
5.180181318539572e-003	-1.766143e-001	2.643923e+000
5.189946943539573e-003	-1.682434e-001	2.694193e+000
5.199712568539573e-003	-1.588459e-001	2.744426e+000
5.209478193539572e-003	-1.485636e-001	2.794552e+000
5.219243818539572e-003	-1.375506e-001	2.844434e+000
5.229009443539572e-003	-1.259730e-001	2.893804e+000
5.238775068539573e-003	-1.140046e-001	2.942225e+000
5.248540693539572e-003	-1.018255e-001	2.988971e+000
5.258306318539572e-003	-8.961904e-002	3.032778e+000
5.268071943539572e-003	-7.756853e-002	3.071536e+000
5.277837568539573e-003	-6.585556e-002	3.101922e+000
5.287603193539573e-003	-5.465603e-002	3.119058e+000
5.297368818539572e-003	-4.413843e-002	3.116467e+000
5.307134443539572e-003	-3.446108e-002	3.086681e+000
5.316900068539573e-003	-2.576947e-002	3.022815e+000
5.326665693539573e-003	-1.819438e-002	2.920897e+000
5.336431318539572e-003	-1.184967e-002	2.782108e+000
5.346196943539572e-003	-6.830812e-003	2.613685e+000
5.355962568539573e-003	-3.213271e-003	2.427794e+000
5.365728193539573e-003	-9.764703e-004	2.238006e+000
5.373538466887438e-003	-2.761753e-004	2.092844e+000
5.381956723599494e-003	-7.046470e-004	1.951727e+000
5.391722348599495e-003	-2.567492e-003	1.812152e+000
5.401487973599494e-003	-5.843997e-003	1.700946e+000
5.411253598599494e-003	-1.053667e-002	1.619494e+000
5.421019223599494e-003	-1.657495e-002	1.566097e+000
5.430784848599495e-003	-2.386799e-002	1.537634e+000
